"","agree_rate","agree_vote","disagree_vote","valid_vote","vote_rate","is_municipality","is_offshoreIsland","location","gender_ratio","young_ratio","middle_ratio","old_ratio","young_old_ratio","age_med","married_ratio","college_ratio","salary_med"
"嘉義縣東石鄉",0.256533266001767,2032,5889,7921,0.40538443988136,"0","0","county",1.12107146310802,0.153825111698733,0.591319412783806,0.254855475517461,0.603577817531306,50,0.715322330870315,0.154727666917393,647
"嘉義縣阿里山鄉",0.210500963391137,437,1639,2076,0.466425069281603,"0","0","county",1.08429458740018,0.209876543209877,0.614729672200937,0.175393784589187,1.19660194174757,48,0.68870636550308,0.172073921971253,711
"嘉義縣大林鎮",0.302632594765691,3920,9033,12953,0.517829284599955,"0","0","county",1.0465275142315,0.198642584282164,0.561732744872603,0.239624670845232,0.82897384305835,50,0.677314234556849,0.280179051029543,783
"嘉義縣太保市",0.310506085842409,4847,10763,15610,0.532437911809427,"0","0","county",1.04532798031471,0.232698030773127,0.608497435572722,0.158804533654151,1.46531100478469,45,0.659031235853327,0.281756450882752,838
"嘉義縣義竹鄉",0.29722554095314,2239,5294,7533,0.504475280831381,"0","0","county",1.07937102208911,0.159644700516145,0.563737846597047,0.276617452886808,0.577131698850076,53,0.721086841951162,0.214791825262048,704
"屏東縣里港鄉",0.333821510297483,3647,7278,10925,0.549078091106291,"0","0","county",1.026520347508,0.215523465703971,0.587138989169675,0.197337545126354,1.09215641436085,47,0.675509670674334,0.268644363129465,725
"屏東縣林邊鄉",0.298274549606699,2351,5531,7882,0.557134663182716,"0","0","county",1.05035877364644,0.190570119623314,0.579791295495037,0.229638584881649,0.829869770019396,49,0.683129100136155,0.234434954821141,705
"屏東縣竹田鄉",0.309460317460317,2437,5438,7875,0.569269849540806,"0","0","county",1.13955431754875,0.191055852102591,0.584689493555527,0.224254654341883,0.851959361393324,50,0.675285171102662,0.265019011406844,709
"屏東縣新埤鄉",0.289118921521425,1201,2953,4154,0.504926381047271,"0","0","county",1.13374291115312,0.183720930232558,0.588039867109635,0.228239202657807,0.804949053857351,51,0.689543541599223,0.181396352649185,661
"屏東縣麟洛鄉",0.316526610644258,1695,3660,5355,0.57432296890672,"0","0","county",1.06385616862988,0.192950836086913,0.591168519074797,0.21588064483829,0.89378478664193,50,0.671368400430992,0.349397590361446,775
"屏東縣枋山鄉",0.303111111111111,682,1568,2250,0.507001647446458,"0","0","county",1.1209221400609,0.1915504511895,0.601927809680066,0.206521739130435,0.927507447864945,49,0.683718152866242,0.152667197452229,735
"屏東縣屏東市",0.312534196342301,26847,59054,85901,0.531983919881515,"0","0","county",0.957727539163516,0.208734501221116,0.612424854405411,0.178840644373474,1.16715359616584,47,0.637449273390918,0.392884672062391,808
"屏東縣瑪家鄉",0.255862273671713,862,2507,3369,0.630054741303196,"0","0","county",1.00388829975256,0.22331980949021,0.643852531310637,0.132827659199153,1.68127490039841,45,0.641836734693878,0.170918367346939,659
"屏東縣高樹鄉",0.320234113712375,3064,6504,9568,0.492464395999447,"0","0","county",1.15023752969121,0.168047500690417,0.57184939703581,0.260103102273773,0.646080339762874,52,0.700651436730323,0.181956094949134,659
"屏東縣獅子鄉",0.235267245317497,515,1674,2189,0.54113475177305,"0","0","county",1.05825242718447,0.228301886792453,0.639858490566038,0.131839622641509,1.73166368515206,46,0.678020713463751,0.142002301495972,684
"屏東縣琉球鄉",0.241199182375653,1062,3341,4403,0.443489631982066,"0","0","county",1.24272860431053,0.188001492815824,0.636499346893077,0.175499160291099,1.07123870281765,46,0.692563917897011,0.186712279438243,695
"屏東縣泰武鄉",0.244668476153548,631,1948,2579,0.646178637200737,"0","0","county",1.08241494968855,0.244362632305568,0.632535664979291,0.12310170271514,1.98504672897196,44,0.661572535991141,0.150166112956811,657
"屏東縣霧臺鄉",0.242815249266862,414,1291,1705,0.615593220338983,"0","0","county",1.02400548696845,0.217214503558116,0.624534056252118,0.158251440189766,1.37259100642398,47,0.660904255319149,0.190159574468085,663
"屏東縣滿州鄉",0.309166957127919,887,1982,2869,0.427282819872329,"0","0","county",1.18991188088727,0.192451782988761,0.612460108228112,0.195088108783128,0.986486486486486,50,0.675679347826087,0.156657608695652,642
"屏東縣車城鄉",0.335994446372787,968,1913,2881,0.414351547070441,"0","0","county",1.16961736150771,0.169781521453014,0.593445643590419,0.236772834956568,0.717065036131184,51,0.677357526194736,0.167646307181191,637
"屏東縣恆春鎮",0.320386627649198,3613,7664,11277,0.470090799267371,"0","0","county",1.04678409181478,0.213698843502979,0.614384175071064,0.171916981425957,1.24303510758777,46,0.667997909823828,0.216146610928635,739
"屏東縣枋寮鄉",0.287971558364606,2916,7210,10126,0.530242123959989,"0","0","county",1.09090909090909,0.19010076506811,0.592787833551036,0.217111401380855,0.87559088955737,49,0.677458738412842,0.203572236038888,684
"屏東縣鹽埔鄉",0.30316826163709,3263,7500,10763,0.519730381215963,"0","0","county",1.07959922070693,0.213195931477516,0.597921127765881,0.188882940756602,1.12871988663203,47,0.662489233419466,0.220456503014643,668
"屏東縣新園鄉",0.300040905372239,4401,10267,14668,0.527681886276298,"0","0","county",1.07110632280654,0.215196046556993,0.598641003966448,0.186162949476559,1.15595529165211,46,0.660754716981132,0.229528301886792,694
"屏東縣春日鄉",0.325056433408578,432,897,1329,0.352026510323732,"0","0","county",1.03892060197198,0.242555357597353,0.618223466530924,0.139221175871723,1.74223034734918,43,0.651500484027105,0.122942884801549,644
"屏東縣三地門鄉",0.275801234930903,938,2463,3401,0.569747371724463,"0","0","county",0.988462737761147,0.229731848831739,0.638387956719461,0.1318801944488,1.74197384066587,45,0.651812688821752,0.152719033232628,642
"屏東縣長治鄉",0.331121333232788,4391,8870,13261,0.550845521023766,"0","0","county",1.08341915550978,0.210882543062474,0.603102779573368,0.186014677364158,1.13368765331153,48,0.657449397190576,0.29915569811599,769
"屏東縣南州鄉",0.349122807017544,1592,2968,4560,0.529802721806098,"0","0","county",1.03781693167168,0.185575706452973,0.578658793757908,0.235765499789119,0.787119856887299,50,0.679129635304934,0.248952906323424,718
"屏東縣東港鎮",0.297520229705038,5699,13456,19155,0.531459678440309,"0","0","county",1.00588563600386,0.216117772044316,0.616279658015885,0.167602569939799,1.28946574102022,45,0.64818091475386,0.261216278449718,729
"屏東縣崁頂鄉",0.324582338902148,1904,3962,5866,0.524531377343113,"0","0","county",1.00408296586641,0.218564094205851,0.59791378045799,0.183522125336158,1.19094138543517,48,0.656482569526048,0.248648648648649,686
"屏東縣內埔鄉",0.305777650866172,6425,14587,21012,0.475608730392363,"0","0","county",1.06546431977803,0.207107174341967,0.591305990512573,0.20158683514546,1.02738442315702,49,0.657244964262508,0.291991552956465,706
"屏東縣牡丹鄉",0.30586186883343,527,1196,1723,0.417014371812703,"0","0","county",1.00278293135436,0.208198239925892,0.639879573876795,0.151922186197314,1.37042682926829,46,0.672038129822969,0.187925556059918,694
"屏東縣萬丹鄉",0.306933946763063,6538,14763,21301,0.534017204103225,"0","0","county",1.07827872767218,0.223486154199701,0.59733425255659,0.179179593243709,1.2472745927921,46,0.659354810061944,0.266068692968629,727
"屏東縣潮州鎮",0.298344487495597,6776,15936,22712,0.522134183102231,"0","0","county",0.98205303094893,0.213506828691257,0.60636627594365,0.180126895365093,1.18531343283582,47,0.644654283406846,0.308898138369468,756
"屏東縣來義鄉",0.226436781609195,788,2692,3480,0.596771615790315,"0","0","county",1.00608,0.233211038443133,0.639974477588132,0.126814483968735,1.83899371069182,45,0.65938797478087,0.147931723819775,619
"屏東縣九如鄉",0.308336914482166,2870,6438,9308,0.544689525402467,"0","0","county",1.06563039723661,0.218227424749164,0.602947324414716,0.17882525083612,1.22033898305085,47,0.661393844443321,0.253449234345783,685
"屏東縣萬巒鄉",0.31345269779821,2591,5675,8266,0.51078294789635,"0","0","county",1.08215527230591,0.197005954699761,0.585897935333074,0.217096109967166,0.907459625736991,50,0.674720888840947,0.236880427161426,712
"屏東縣佳冬鄉",0.324186855842591,2422,5049,7471,0.495340795874114,"0","0","county",1.08531673379714,0.191337430494586,0.575182908984489,0.233479660520925,0.81950363499624,50,0.680461599681655,0.2198851685521,672
"臺東縣成功鎮",0.21626045834849,1189,4309,5498,0.494688556253018,"0","0","county",1.10624259854509,0.171967871485944,0.607389558232932,0.220642570281124,0.779395704404805,50,0.673541405269762,0.151113550815558,639
"臺東縣長濱鄉",0.23864118895966,562,1793,2355,0.419185687847008,"0","0","county",1.33237616654702,0.136349646044937,0.605724838411819,0.257925515543244,0.528639618138425,53,0.673870333988212,0.1165180595436,587
"臺東縣蘭嶼鄉",0.276158940397351,417,1093,1510,0.382683568524276,"0","0","county",1.0052783109405,0.262263699449629,0.646326872457526,0.0914094280928452,2.86910994764398,41,0.590484862280901,0.206692465285682,731
"臺東縣卑南鄉",0.273184357541899,1956,5204,7160,0.525373931623932,"0","0","county",1.12425700537787,0.207195203197868,0.598334443704197,0.194470353097935,1.06543336759164,48,0.648359440469284,0.182556565461226,666
"臺東縣延平鄉",0.236718224613315,352,1135,1487,0.547440273037543,"0","0","county",1.16629711751663,0.237461617195496,0.656431252132378,0.106107130672126,2.2379421221865,43,0.625896934116112,0.186236138290933,653
"臺東縣臺東市",0.266853128372277,12117,33290,45407,0.547213648736376,"0","0","county",0.982903284012992,0.219453101895034,0.603351002115704,0.177195895989262,1.23847733983823,47,0.634682887479015,0.302156234329692,799
"臺東縣關山鎮",0.2625,924,2596,3520,0.499001198561726,"0","0","county",1.10033538289547,0.201197604790419,0.574584165003327,0.224218230206254,0.897329376854599,50,0.657304818345787,0.212960577170832,710
"臺東縣綠島鄉",0.316239316239316,481,1040,1521,0.441184688460464,"0","0","county",1.14277180406213,0.249790911625314,0.626707555059939,0.123501533314748,2.02257336343115,42,0.637823129251701,0.309659863945578,837
"臺東縣大武鄉",0.266066838046273,621,1713,2334,0.514622104063806,"0","0","county",1.06614481409002,0.189240386436825,0.637620761507861,0.173138852055314,1.09299781181619,48,0.668950194408443,0.16163673393816,642
"臺東縣鹿野鄉",0.297111416781293,864,2044,2908,0.450980392156863,"0","0","county",1.13390663390663,0.179332181922855,0.590673575129534,0.229994242947611,0.779724655819775,50,0.676929506826414,0.173446642518807,663
"臺東縣東河鄉",0.263457037780007,788,2203,2991,0.43863785199738,"0","0","county",1.24853113983549,0.136137967076039,0.615495165926313,0.248366866997648,0.548132561809574,52,0.678059395801331,0.141065028161802,776
"臺東縣池上鄉",0.272212978369384,818,2187,3005,0.461602904216699,"0","0","county",1.07625649913345,0.175013912075682,0.581524763494713,0.243461324429605,0.718857142857143,51,0.676577424996637,0.178797255482309,686
"臺東縣太麻里鄉",0.25166017861232,1099,3268,4367,0.495241051106973,"0","0","county",1.11936049058257,0.188281492197995,0.599152629947298,0.212565877854707,0.885755955274672,49,0.6711,0.1548,641
"臺東縣海端鄉",0.215073529411765,351,1281,1632,0.535692495424039,"0","0","county",1.15354330708661,0.262340036563071,0.634064594759293,0.103595368677636,2.53235294117647,42,0.606657018813314,0.160057887120116,658
"臺東縣金峰鄉",0.27125748502994,453,1217,1670,0.599405548216645,"0","0","county",1.0006600660066,0.257670735730782,0.628175519630485,0.114153744638733,2.25722543352601,45,0.633364750235627,0.170593779453346,703
"臺東縣達仁鄉",0.221364985163205,373,1312,1685,0.58304112209117,"0","0","county",1.18251214434421,0.209220985691574,0.65214626391097,0.138632750397456,1.50917431192661,47,0.652323043342688,0.158091674462114,676
"花蓮縣鳳林鎮",0.254508196721311,1242,3638,4880,0.552707730467135,"0","0","county",1.07028412732322,0.166546280053658,0.558765865235786,0.274687854710556,0.606311044327573,53,0.684125705076551,0.231869460112812,700
"花蓮縣光復鄉",0.239063699155794,1246,3966,5212,0.51510904791101,"0","0","county",1.13264925373134,0.179336890910681,0.576065086169189,0.244598022920129,0.733190271816881,52,0.667836057157525,0.184392915204929,636
"花蓮縣壽豐鄉",0.268580661198111,2161,5885,8046,0.555562567047391,"0","0","county",1.13272434175175,0.191672965482489,0.59095490047871,0.217372134038801,0.881773399014778,50,0.675513331290224,0.225681887833282,691
"花蓮縣秀林鄉",0.266822118587608,1602,4402,6004,0.513692087247254,"0","0","county",1.04153821190978,0.286838340486409,0.607137180098553,0.106024479415037,2.70539730134933,42,0.613496472001201,0.158910073562528,618
"花蓮縣萬榮鄉",0.248787765759045,667,2014,2681,0.558550009489467,"0","0","county",1.12651087832393,0.288556271314892,0.607616521409625,0.103827207275483,2.77919708029197,42,0.610574293527803,0.15587967183227,601
"花蓮縣豐濱鄉",0.279861511829198,485,1248,1733,0.456427758816837,"0","0","county",1.25641025641026,0.148863636363636,0.634318181818182,0.216818181818182,0.686582809224319,51,0.674696082845565,0.122917604682575,612
"花蓮縣玉里鎮",0.261623234990242,2279,6432,8711,0.474285714285714,"0","0","county",1.12787120590648,0.185340465519734,0.581273191653414,0.233386342826852,0.794135866198637,50,0.633513211760327,0.213574618533681,721
"花蓮縣瑞穗鄉",0.225608419206314,1029,3532,4561,0.49391964198852,"0","0","county",1.18828274251751,0.178581821709186,0.580075662042875,0.241342516247939,0.739951768488746,51,0.660687311178248,0.187877643504532,653
"花蓮縣吉安鄉",0.260518652059354,9393,26662,36055,0.528814687448,"0","0","county",0.996294965023364,0.219639889196676,0.617091412742382,0.163268698060942,1.34526637258229,46,0.645127670661803,0.338450849133496,775
"花蓮縣花蓮市",0.280717096633144,12198,31255,43453,0.538646573985638,"0","0","county",0.897818701948865,0.204190023081634,0.61603231428706,0.179777662631306,1.13579195598061,47,0.646440294284097,0.388896434634975,822
"花蓮縣新城鄉",0.270715030710395,2336,6293,8629,0.542956133654354,"0","0","county",1.04622958693564,0.219646734346576,0.619975353559063,0.160377912094361,1.36955726308086,45,0.646302975653742,0.262173128944996,762
"花蓮縣卓溪鄉",0.215402658326818,551,2007,2558,0.575904588639579,"0","0","county",1.22571942446043,0.255757575757576,0.627474747474748,0.116767676767677,2.19031141868512,43,0.627217781243907,0.162019886917528,595
"花蓮縣富里鄉",0.245232339511147,913,2810,3723,0.45857694429123,"0","0","county",1.21398976358762,0.165455746367239,0.574966974900925,0.259577278731836,0.637404580152672,52,0.675747863247863,0.143482905982906,613
"澎湖縣望安鄉",0.29324644549763,495,1193,1688,0.398444252376837,"0","1","offshore island",1.17073170731707,0.173292999135696,0.603500432152118,0.223206568712187,0.776379477250726,50,0.692226890756303,0.222268907563025,778
"澎湖縣白沙鄉",0.262986049272781,886,2483,3369,0.423884057971014,"0","1","offshore island",1.08934624697337,0.200602619075211,0.597172325877854,0.202225055046935,0.991977077363897,48,0.692463898916967,0.221457581227437,758
"澎湖縣馬公市",0.292273963704275,7199,17432,24631,0.487428944180412,"0","1","offshore island",1.02792578316895,0.254094847666077,0.580434174974378,0.165470977359545,1.53558558558559,44,0.622923110120118,0.337589009566281,883
"澎湖縣湖西鄉",0.280800621842208,1445,3701,5146,0.433560944980771,"0","1","offshore island",1.10995197880444,0.203657196672422,0.595275466959661,0.201067336367917,1.01288056206089,47,0.661586290567182,0.247421898695784,761
"澎湖縣西嶼鄉",0.291593695271454,666,1618,2284,0.345976700081279,"0","1","offshore island",1.04656319290466,0.178900325027086,0.584913326110509,0.236186348862405,0.757454128440367,50,0.701399894347596,0.189646064447966,744
"澎湖縣七美鄉",0.336518046709129,317,625,942,0.302608180201541,"0","1","offshore island",1.07682851874616,0.205682154483575,0.605208641609944,0.189109203906481,1.08763693270736,46,0.691681210005817,0.223967422920303,761
"基隆市暖暖區",0.348542831910509,5920,11065,16985,0.532671181339353,"0","0","county",0.986376673040153,0.223649380339309,0.624774395379617,0.151576224281073,1.47549116888271,47,0.638959758784646,0.338571262901542,792
"基隆市信義區",0.331479325658604,7688,15505,23193,0.524557743295519,"0","0","county",0.955867986237948,0.215041153603926,0.606966794796621,0.177992051599453,1.20815031722792,48,0.638181894419053,0.368422156065244,811
"基隆市中正區",0.322752111276701,6497,13633,20130,0.471731254802942,"0","0","county",1.03163569932718,0.195609263970524,0.608342837090973,0.196047898938503,0.997762613267703,49,0.641271796614489,0.298154323216448,758
"基隆市中山區",0.335021097046414,6749,13396,20145,0.508553134556575,"0","0","county",1.0225955967555,0.213549126324835,0.603002959992361,0.183447913682803,1.16408588158751,48,0.63538898773077,0.292243351278911,751
"基隆市仁愛區",0.337022628897047,6151,12100,18251,0.532418748979259,"0","0","county",0.953394553851054,0.169211956521739,0.604239130434783,0.226548913043478,0.746911359002039,50,0.659841601991895,0.327020369242179,795
"基隆市安樂區",0.353165783324785,12394,22700,35094,0.520825046877664,"0","0","county",0.963687072932645,0.211495852744006,0.626193046244745,0.162311101011249,1.30302765138257,47,0.642024145199704,0.361890552711544,842
"基隆市七堵區",0.337764924245694,7825,15342,23167,0.529812348668281,"0","0","county",1.00168743509865,0.211983658647299,0.619501545511532,0.168514795841169,1.2579527963058,47,0.643201402073901,0.321788478791546,754
"新竹市東區",0.363946032594176,32694,57138,89832,0.571413741091984,"0","0","county",0.934272632870764,0.198953135104137,0.652673897924572,0.148372966971291,1.34089881172649,44,0.673566888224538,0.531704060604302,1553
"新竹市香山區",0.322326497508979,11128,23396,34524,0.562037721893491,"0","0","county",1.01629979198361,0.220223888640808,0.645181158862387,0.134594952496805,1.63619723143805,43,0.666578104473867,0.364123455696763,958
"新竹市北區",0.333742387055722,22029,43977,66006,0.562060395380192,"0","0","county",0.92846304262808,0.202495193750659,0.636931463289989,0.160573342959352,1.26107602930033,45,0.663895219058434,0.430658069734703,1026
"嘉義市東區",0.338067586863398,17757,34768,52525,0.547696404264409,"0","0","county",0.903093678627381,0.215117432357375,0.597397445052765,0.18748512258986,1.14738401311961,47,0.63779924321652,0.435055427734784,920
"嘉義市西區",0.317298548151905,20019,43073,63092,0.550030602286073,"0","0","county",0.924838576290595,0.216153019912418,0.614764934313807,0.169082045773775,1.2783913213448,46,0.639342059502355,0.372545764962534,831
"臺北市大同區",0.399353506634173,23597,35491,59088,0.58118021142278,"1","0","special municipality",0.925028134545649,0.167828144573841,0.625629842713311,0.206542012712847,0.812561775541378,48,0.65495150011279,0.458398375817731,1038
"臺北市中山區",0.391851949470038,41628,64606,106234,0.571028142742944,"1","0","special municipality",0.840714373042669,0.161313066802912,0.630123898326734,0.208563034870354,0.773449939981872,49,0.658194339397317,0.552202340671152,1383
"臺北市中正區",0.371804297465633,26803,45286,72089,0.585967948118355,"1","0","special municipality",0.876714127326837,0.160736911656108,0.620529363752964,0.218733724590929,0.734851984789794,48,0.677840508115737,0.603417468730762,1658
"臺北市士林區",0.386348383160464,50658,80462,131120,0.573432732144186,"1","0","special municipality",0.905416558587026,0.176441468757348,0.617291437199114,0.206267094043538,0.855402891942161,48,0.662920043566006,0.501265336195022,1295
"臺北市萬華區",0.371880797773655,32071,54169,86240,0.558285574929887,"1","0","special municipality",0.945272748787126,0.166890720520697,0.61610146293987,0.217007816539432,0.769053959355291,48,0.658156095652019,0.41025656229062,914
"臺北市南港區",0.383895163981942,21854,35073,56927,0.583443728105037,"1","0","special municipality",0.926597370257881,0.181607214546594,0.639840590637148,0.178552194816258,1.01710995338635,46,0.667779442726807,0.486343202898276,1092
"臺北市文山區",0.366319057536099,47668,82459,130127,0.598787030557499,"1","0","special municipality",0.889885645051534,0.18414385140624,0.631260017125167,0.184596131468593,0.997549894145912,47,0.6655519386942,0.556482376277911,1202
"臺北市信義區",0.372876081995964,39545,66509,106054,0.581861334565542,"1","0","special municipality",0.883702804826314,0.169592634103931,0.614107492641436,0.216299873254632,0.784062568100922,48,0.666366169063008,0.553165156538879,1314
"臺北市松山區",0.382047972016324,36698,59358,96056,0.59326078994317,"1","0","special municipality",0.847726728622108,0.163532495067581,0.610648134515151,0.225819370417268,0.724173903972042,49,0.674286528866714,0.619347113328582,1522
"臺北市大安區",0.379592881833312,53370,87228,140598,0.578689465455481,"1","0","special municipality",0.833429732348135,0.157057285607814,0.601595495072736,0.24134721931945,0.650752414097348,50,0.678206340972201,0.652703609898996,1722
"臺北市內湖區",0.390856619606254,52075,81158,133233,0.584949160558052,"1","0","special municipality",0.88570769793439,0.196923764509451,0.652915804075506,0.150160431415043,1.31142247430786,46,0.662143511450382,0.556262595419847,1265
"臺北市北投區",0.383416153415454,43826,70478,114304,0.563934349355217,"1","0","special municipality",0.899579469580448,0.178461941692136,0.628187906898375,0.193350151409489,0.922998717048728,47,0.664965647263564,0.496333593169335,1137
"高雄市內門區",0.278600749598429,1561,4042,5603,0.478157206583603,"1","0","special municipality",1.19285232636548,0.176429889298893,0.584332718327183,0.239237392373924,0.737467866323907,51,0.704958492259367,0.142248148979134,604
"高雄市茂林區",0.217757009345794,233,837,1070,0.689164086687307,"1","0","special municipality",0.976744186046512,0.293498452012384,0.606191950464396,0.10030959752322,2.92592592592593,43,0.597173144876325,0.195524146054181,711
"高雄市桃源區",0.223037831733484,395,1376,1771,0.527730131503716,"1","0","special municipality",1.11057401812689,0.263670197537933,0.645004294302892,0.0913255081591755,2.8871473354232,41,0.634684312103667,0.184174248690378,680
"高雄市杉林區",0.258431887866842,1180,3386,4566,0.471198265296502,"1","0","special municipality",1.22571189279732,0.161994355597366,0.588146754468485,0.249858889934149,0.648343373493976,52,0.697399743636697,0.141274491851309,612
"高雄市美濃區",0.265836914662053,4763,13154,17917,0.551811050380901,"1","0","special municipality",1.10310566396954,0.169905796486464,0.552688902090583,0.277405301422954,0.612482153783398,53,0.718199554834987,0.25550273419252,748
"高雄市甲仙區",0.279098360655738,681,1759,2440,0.495661805427358,"1","0","special municipality",1.12573443008226,0.176524783489958,0.597567716970702,0.22590749953934,0.781402936378467,50,0.68440996030314,0.151208949837604,597
"高雄市茄萣區",0.310635390571624,4092,9081,13173,0.54131695406684,"1","0","special municipality",1.05859742704738,0.193918378234196,0.617345577868384,0.18873604389742,1.02745810619826,47,0.636023065339553,0.231057406251148,630
"高雄市路竹區",0.317853755103724,7707,16540,24247,0.592063854047891,"1","0","special municipality",1.02622224274041,0.205673274094327,0.612645249487355,0.181681476418319,1.13205417607223,46,0.667762725240037,0.338747862685782,778
"高雄市阿蓮區",0.314372211599745,3946,8606,12552,0.542430912203473,"1","0","special municipality",1.01569046249897,0.222847128825855,0.600317887272283,0.176834983901863,1.26019820235077,47,0.654804970116389,0.275047184649261,724
"高雄市湖內區",0.315325248070562,4290,9315,13605,0.560185005246998,"1","0","special municipality",1.04105897273304,0.200349514563107,0.628233009708738,0.171417475728155,1.16878115088355,46,0.661097762426791,0.306389848325574,736
"高雄市梓官區",0.31254761765223,5333,11730,17063,0.587203867848509,"1","0","special municipality",1.05940856650312,0.202801030264005,0.631229877656149,0.165969092079845,1.22192046556741,46,0.647161030096184,0.275178405212535,686
"高雄市岡山區",0.306327517342863,14572,32998,47570,0.616685539855251,"1","0","special municipality",0.96595826986775,0.218670831591116,0.612674324224611,0.168654844184273,1.29655826163045,46,0.652926979319483,0.357436940987175,800
"高雄市鳥松區",0.346982853616609,7872,14815,22687,0.609884922558751,"1","0","special municipality",1.01168571575009,0.202700636942675,0.62140127388535,0.175898089171975,1.15237543453071,48,0.661674945016927,0.430029406677045,1173
"高雄市大社區",0.340100266138516,5495,10662,16157,0.573087931837849,"1","0","special municipality",1.0118489757665,0.220743353408977,0.62236715136592,0.156889495225102,1.40699893955461,46,0.652030171722035,0.304959075589793,747
"高雄市橋頭區",0.321943972835314,6068,12780,18848,0.621771840933518,"1","0","special municipality",1.01758187333622,0.201963792574409,0.611322491561829,0.186713715863762,1.08167625308135,47,0.661464371711406,0.358571895716282,818
"高雄市田寮區",0.310309278350515,903,2007,2910,0.481487033428272,"1","0","special municipality",1.25514681066487,0.139179886261598,0.561209218796767,0.299610894941634,0.464535464535465,54,0.738720141551165,0.14479504570923,653
"高雄市大樹區",0.304541915390605,5867,13398,19265,0.559528989448493,"1","0","special municipality",1.04008649367931,0.207908683245006,0.601413235493953,0.190678081261041,1.09036488027366,48,0.646324185338721,0.266857322768537,689
"高雄市旗津區",0.327505827505828,3934,8078,12012,0.522164119066774,"1","0","special municipality",1.06182662025526,0.204759225018088,0.616810032960849,0.178430742021063,1.14755575580086,46,0.636085152584435,0.2222653069138,648
"高雄市鳳山區",0.325398457281502,55389,114830,170219,0.597281288476257,"1","0","special municipality",0.938241208621223,0.204308298029409,0.638436828698931,0.15725487327166,1.29921759357158,45,0.644326879711874,0.386891034765114,828
"高雄市前金區",0.335304724125496,4649,9216,13865,0.608074222668004,"1","0","special municipality",0.892220293514281,0.158952547744141,0.590276040363606,0.250771411892253,0.633854339873628,52,0.644815836443291,0.484909946454649,1116
"高雄市苓雅區",0.332695672460049,28522,57208,85730,0.611979344079136,"1","0","special municipality",0.903215367489062,0.17682665560324,0.603464575497684,0.219708768899076,0.804822932144626,49,0.645673614372557,0.45316417179862,947
"高雄市左營區",0.317431641143902,29870,64229,94099,0.608736606617214,"1","0","special municipality",0.893539421374207,0.204249863746718,0.644298419461923,0.151451716791359,1.34861372372618,46,0.645691351967987,0.442609482040158,990
"高雄市鼓山區",0.337952341623077,22096,43286,65382,0.595360891988972,"1","0","special municipality",0.899815205913411,0.17708260960189,0.651054331966928,0.171863058431182,1.03037040780231,46,0.653637232383858,0.455689305413516,1030
"高雄市新興區",0.348235657478187,9020,16882,25902,0.613707586517867,"1","0","special municipality",0.903591763346034,0.166351819367607,0.592722529573157,0.240925651059236,0.690469523009428,51,0.64812668139367,0.49397432252138,1056
"高雄市仁武區",0.318550830001212,13145,28120,41265,0.585727676570078,"1","0","special municipality",1.01943850413994,0.215879006747492,0.650555955306352,0.133565037946156,1.61628379751982,44,0.656039503341889,0.355686422680547,811
"高雄市小港區",0.328928364132122,24368,49715,74083,0.587909562806536,"1","0","special municipality",0.967192709490998,0.214521377564856,0.64089758654976,0.144581035885384,1.48374492028759,44,0.65178629719633,0.336433208806355,799
"高雄市楠梓區",0.326197085357391,28203,58257,86460,0.600227254917326,"1","0","special municipality",0.938509033857989,0.215694593112811,0.642554108033313,0.141751298853876,1.5216410350861,44,0.651545019650189,0.410199264216566,848
